instance,n_K,n_C,n_S,n_D,B,tier_used,rev_total,heur_profit,heur_runtime,heur_feasible,greedy_profit,greedy_runtime,greedy_feasible,ub_profit,ub_runtime,ub_status,opt_profit,opt_runtime,opt_status,n_accepted_h,n_accepted_g,n_upgrades_h,n_upgrades_g,scenario,block,seed
M3_imbalanced_flow_13.txt,200,20,8,5,4000,2,671500,-175100,0.0019998550415039062,True,-484100,0.0029997825622558594,True,473800.0,0.004000425338745117,ok,,,skipped,70,91,7,30,M3_imbalanced_flow,B,20922524
M3_imbalanced_flow_14.txt,200,20,8,5,4000,2,654400,-22400,0.0033426284790039062,True,-432800,0.004561185836791992,True,468100.0,0.004542350769042969,ok,,,skipped,82,96,6,16,M3_imbalanced_flow,B,20922525
M3_imbalanced_flow_15.txt,200,20,8,5,4000,2,608600,42800,0.002008676528930664,True,-396100,0.002009868621826172,True,353300.0,0.0050771236419677734,ok,,,skipped,91,104,15,22,M3_imbalanced_flow,B,20922526
M3_imbalanced_flow_16.txt,200,20,8,5,4000,2,643500,-74100,0.001012563705444336,True,-514800,0.003301858901977539,True,462000.0,0.0046079158782958984,ok,,,skipped,79,97,8,23,M3_imbalanced_flow,B,20922527
M3_imbalanced_flow_17.txt,200,20,8,5,4000,2,619900,400,0.002000570297241211,True,-290900,0.003000497817993164,True,495900.0,0.004506587982177734,ok,,,skipped,77,108,8,25,M3_imbalanced_flow,B,20922528
M3_imbalanced_flow_18.txt,200,20,8,5,4000,2,691500,-46200,0.0019998550415039062,True,-304200,0.002999544143676758,True,378000.0,0.006000995635986328,ok,,,skipped,88,104,8,17,M3_imbalanced_flow,B,20922529
M3_imbalanced_flow_19.txt,200,20,8,5,4000,2,709600,-99800,0.0020377635955810547,True,-483500,0.003142833709716797,True,438100.0,0.0070035457611083984,ok,,,skipped,72,90,6,23,M3_imbalanced_flow,B,20922530
M3_imbalanced_flow_20.txt,200,20,8,5,4000,2,629100,62100,0.0019989013671875,True,-409200,0.0029997825622558594,True,466500.0,0.004999876022338867,ok,,,skipped,84,99,10,29,M3_imbalanced_flow,B,20922531
M3_imbalanced_flow_21.txt,200,20,8,5,4000,2,717900,-14700,0.0010006427764892578,True,-474600,0.0029997825622558594,True,431400.0,0.006000995635986328,ok,,,skipped,78,102,7,31,M3_imbalanced_flow,B,20922532
M3_imbalanced_flow_22.txt,200,20,8,5,4000,2,622900,-18200,0.003000020980834961,True,-368000,0.0019998550415039062,True,462100.0,0.004334688186645508,ok,,,skipped,74,88,9,16,M3_imbalanced_flow,B,20922533
M3_imbalanced_flow_23.txt,200,20,8,5,4000,2,623600,17000,0.0019996166229248047,True,-270400,0.0030002593994140625,True,449600.0,0.003999948501586914,ok,,,skipped,84,103,13,26,M3_imbalanced_flow,B,20922534
M3_imbalanced_flow_24.txt,200,20,8,5,4000,2,674000,4400,0.0019996166229248047,True,-496600,0.002000093460083008,True,419600.0,0.005179882049560547,ok,,,skipped,84,103,9,24,M3_imbalanced_flow,B,20922535
M4_high_demand_00.txt,300,20,8,5,4000,2,970800,-560100,0.003000020980834961,True,-822300,0.004000186920166016,True,115050.0,0.01100015640258789,ok,,,skipped,77,116,8,31,M4_high_demand,B,20923511
